split_mode,action_source,method,channels_count,selected_channels,feature_set,window_ms,filtering,macro_f1,accuracy,processing_time_ms,feature_vector_size,profile,alpha,beta,gamma,reward
medium,channel_sweep,random,3,"[9, 14, 20]",basic,200.0,False,0.6351627741308676,0.6396968581246931,0.1188666666773012,12,compression_first,0.02,0.006,0.0012,0.6003854407973216
medium,feature_sweep,full,24,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",extended_td,200.0,False,0.9575278848502512,0.9574435444280806,0.2146534885828654,264,compression_first,0.02,0.006,0.0012,0.4924348150785939
medium,channel_sweep,random,16,"[1, 3, 6, 7, 8, 10, 11, 13, 14, 16, 17, 18, 19, 20, 21, 22]",basic,200.0,False,0.931737527612166,0.9311487481590576,0.1751916668884708,64,low_latency,0.08,0.0015,0.0003,0.8745221942610883
medium,channel_sweep,random,12,"[1, 2, 5, 8, 10, 15, 17, 19, 20, 21, 22, 23]",basic,200.0,False,0.9102108038952402,0.9095790378006872,0.1520416664485916,48,low_latency,0.08,0.0015,0.0003,0.8656474705793529
medium,channel_sweep,random,16,"[1, 3, 5, 6, 7, 8, 9, 11, 12, 17, 18, 19, 20, 21, 22, 23]",basic,200.0,False,0.9215055134204032,0.9207167403043692,0.1716291665919319,64,low_latency,0.08,0.0015,0.0003,0.8645751800930487
medium,channel_sweep,greedy,16,"[6, 8, 5, 16, 9, 23, 22, 4, 13, 12, 1, 0, 20, 3, 15, 17]",basic,200.0,False,0.9183647472176206,0.9178325969563084,0.1666625001538098,64,low_latency,0.08,0.0015,0.0003,0.8618317472053159
medium,channel_sweep,random,16,"[0, 1, 3, 4, 5, 6, 8, 9, 10, 12, 13, 15, 17, 19, 21, 22]",basic,200.0,False,0.9161358356788412,0.9158382425135002,0.1671374999811329,64,low_latency,0.08,0.0015,0.0003,0.8595648356803505
medium,channel_sweep,ranking,24,"[6, 14, 7, 15, 0, 5, 9, 8, 13, 1, 11, 3, 4, 10, 2, 12, 19, 18, 23, 17, 22, 16, 20, 21]",basic,200.0,False,0.9345215635815728,0.9340942562592048,0.2056875003593935,96,low_latency,0.08,0.0015,0.0003,0.8532665635528213
medium,channel_sweep,random,24,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",basic,200.0,False,0.9345215635815728,0.9340942562592048,0.2070666667653616,96,low_latency,0.08,0.0015,0.0003,0.8531562302403438
medium,feature_sweep,full,24,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",basic,200.0,False,0.9284057813212564,0.9277736867943054,0.2013449067221804,96,low_latency,0.08,0.0015,0.0003,0.8474981887834819
medium,channel_sweep,random,12,"[1, 4, 5, 6, 8, 9, 10, 11, 14, 16, 22, 23]",basic,200.0,False,0.89045357690625,0.8905866470299459,0.1471458332768331,48,low_latency,0.08,0.0015,0.0003,0.8462819102441034
medium,channel_sweep,random,12,"[1, 3, 5, 7, 8, 9, 10, 13, 14, 16, 17, 23]",basic,200.0,False,0.885915153658624,0.885708149239077,0.1495666660957795,48,low_latency,0.08,0.0015,0.0003,0.8415498203709617
medium,channel_sweep,random,8,"[5, 7, 8, 9, 18, 19, 21, 22]",basic,200.0,False,0.8696575411371718,0.8687101129111439,0.182533333372703,32,low_latency,0.08,0.0015,0.0003,0.8334548744673554
medium,channel_sweep,ranking,16,"[6, 14, 7, 15, 0, 5, 9, 8, 13, 1, 11, 3, 4, 10, 2, 12]",basic,200.0,False,0.8853045674655036,0.8861070201276386,0.1622875001885404,64,low_latency,0.08,0.0015,0.0003,0.8291215674504203
medium,channel_sweep,ranking,12,"[6, 14, 7, 15, 0, 5, 9, 8, 13, 1, 11, 3]",basic,200.0,False,0.8726615068257378,0.8733738340697104,0.1515291666388899,48,low_latency,0.08,0.0015,0.0003,0.8281391734946266
medium,channel_sweep,random,6,"[3, 13, 14, 15, 16, 18]",basic,200.0,False,0.8525852519242008,0.8523564064801178,0.1333041667142727,24,low_latency,0.08,0.0015,0.0003,0.825720918587059
medium,feature_sweep,full,24,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",extended_td,200.0,False,0.9575278848502512,0.9574435444280806,0.2146534885828654,264,low_latency,0.08,0.0015,0.0003,0.825155605763622
medium,channel_sweep,random,8,"[5, 10, 11, 12, 14, 15, 16, 17]",basic,200.0,False,0.8534456802225203,0.853154148257241,0.1393666663413265,32,low_latency,0.08,0.0015,0.0003,0.8206963469152141
medium,feature_sweep,greedy,8,"[6, 8, 5, 16, 9, 23, 22, 4]",extended_td,200.0,False,0.8666285438396536,0.8666237113402062,0.1271871839690725,88,low_latency,0.08,0.0015,0.0003,0.8180535691221278
medium,channel_sweep,ranking,8,"[6, 14, 7, 15, 0, 5, 9, 8]",basic,200.0,False,0.8489447471933713,0.8499324987727049,0.1326041663863482,32,low_latency,0.08,0.0015,0.0003,0.8167364138824634
medium,feature_sweep,greedy,12,"[6, 8, 5, 16, 9, 23, 22, 4, 13, 12, 1, 0]",extended_td,200.0,False,0.8788470847368318,0.8786512027491409,0.1476278197139784,132,low_latency,0.08,0.0015,0.0003,0.8094368591597135
medium,feature_sweep,greedy,6,"[6, 8, 5, 16, 9, 23]",extended_td,200.0,False,0.8366494494869265,0.8352356406480118,0.1179146539004465,66,low_latency,0.08,0.0015,0.0003,0.7984162771748907
medium,feature_sweep,greedy,6,"[6, 8, 5, 16, 9, 23]",basic,200.0,False,0.8147628978467312,0.8134511536573392,0.1173506934205049,24,low_latency,0.08,0.0015,0.0003,0.7891748423730908
medium,channel_sweep,ranking,6,"[6, 14, 7, 15, 0, 5]",basic,200.0,False,0.8162438020773441,0.8182069219440353,0.1466333333155489,24,low_latency,0.08,0.0015,0.0003,0.7883131354121002
